Sistem Pakar Mendiagnosa Kerusakan pada Sepeda Motor Menggunakan Metode Teorema Bayes;Dr. Abdul Fadlil, M.T.;Murinto, S.Si., M.Kom.;Ir. Ardi Pujiyanta, M.T.
Sistem pakar Mendiagnosa Penyakit Gangguan Tidur Berbasis Web Menggunakan Metode Certainty Factor;Drs. Tedy Setiadi, M.T.;Eko Aribowo, S.T., M.Kom.;Sri Winiarti, S.T., M.Cs.
Sistem Pakar Mendiagnosa Penyakit Itik;Dr. Abdul Fadlil, M.T.;Sri Winiarti, S.T., M.Cs.;Murinto, S.Si., M.Kom.
Sistem Pakar Mendiagnosa Penyakit Kanker pada Wanita dengan Pengobatan Herbal Menggunakan Metode Dempster Shafer;Sri Winiarti, S.T., M.Cs.;Eko Aribowo, S.T., M.Kom.;Ir. Ardi Pujiyanta, M.T.
Sistem Pakar Mendiagnosa Penyakit Kanker pada Wanita Dengan Solusi Herbal Sebagai Obat Menggunakan Inferensi Fuzzy Tsukamoto;Sri Winiarti, S.T., M.Cs.;Murinto, S.Si., M.Kom.;Ir. Ardi Pujiyanta, M.T.
Sistem Pakar Mendiagnosa Penyakit Pada Ikan Konsumsi Air Tawar Berbasis Website;Ir. Ardi Pujiyanta, M.T.;Dr. Abdul Fadlil, M.T.;Sri Winiarti, S.T., M.Cs.
Sistem Pakar Mendiagnosa Penyakit Stroke  Menggunakan Metode Certainty Factor;Dr. Abdul Fadlil, M.T.;Sri Winiarti, S.T., M.Cs.;Ardi Pujiyanta, M.T
Sistem Pakar Menentukan Hama dan Penyakit Pada Tanaman Palawija;Sri Winiarti, S.T., M.Cs.;Dr. Abdul Fadlil, M.T.;Nur Rochmah DPA, S.T., M.Kom.
Sistem Pakar Pemanfaatan multimedia untuk Penyakit tulang;Sri Winiarti, S.T., M.Cs.;Dr. Abdul Fadlil, M.T.;Ardi Pujiyanta, M.T
Sistem Pakar Pendeteksi Penyakit Pada Burung Kenari Berbasis Web;Nur Rochmah DPA, S.T., M.Kom.;Murinto, S.Si., M.Kom.;Sri Winiarti, S.T., M.Cs.
Sistem Pakar Pendiagnosa Karakteristik Penggunaan Obat anti Hipertensi Pada Pasien dengan Penyakit Komplikasi;Eko Aribowo, S.T., M.Kom.;Dr. Abdul Fadlil, M.T.;Sri Winiarti, S.T., M.Cs.
Sistem Pakar Penentuan Jenis Penyakit HATI Dengan metode inferensi fuzzy tsukamoto;Ir. Ardi Pujiyanta, M.T.;Eko Aribowo, S.T., M.Kom.;Sri Winiarti, S.T., M.Cs.
Sistem Pakar Penentuan Produk dan Jenis Perawatan Wahaj dengan Certainty Factor;Sri Winiarti, S.T., M.Cs.;Ir. Ardi Pujiyanta, M.T;Dewi Soyusiawaty, S.T., M.T.
Sistem Pakar Rekomendasi Obat Non-resep Dokter dengan metode Fuzzy Interference System Tsukamoto Berbasis Mobile di Apotik Tiga Farma;Andri Pranolo, S.T., M.Cs.;Sri Winiarti, S.T., M.Cs.;Rusydi Umar, S.T., M.T., Ph.D.
Sistem Pakar untuk Diagnosa Komplikasi Pada Ibu dan Janin di masa Kehamilan Berbasis Mobile;Eko Aribowo, S.T., M.Kom.;Murinto, S.Si., M.Kom.;Rusydi Umar, S.T., M.T., Ph.D.
Sistem Pakar Untuk Diagnosa Penyakit Pada Manusia yang ditularkan dari Hewan Lalat;Drs. Wahyu Pujiyono, M. Kom.;Sri Winiarti, S.T., M.Cs.;Ardi Pujiyanta, M.T
Sistem Pakar Untuk Identifikasi Penyakit Umum Berbasis Web;Eko Aribowo, S.T., M.Kom.;Ali Tarmuji, S.T., M.Cs.;Ir. Ardi Pujiyanta, M.T.
Sistem Pakar untuk Mendiagnosa  Penyakit Lambung degn Bayes;Ir. Ardi Pujiyanta, M.T.;Sri Winiarti, S.T., M.Cs.;Dewi Soyusiawaty, S.T., M.T.
Sistem Pakar untuk mendiagnosa Kerusakan Mesin Lokomotif KA dengan Metode Demster-Shafer;Ir. Ardi Pujiyanta, M.T.;Drs. Tedy Setiadi, M.T.;Sri Handayaningsih, S.T., M.T.
Sistem Pakar Untuk Mendiagnosa Kerusakan pada Kamera Digital;Kartika Firdaus, S.T., M.T.;Murinto, S.Si., M.Kom.;Sri Winiarti, S.T., M.Cs.
Sistem Pakar untuk Mendiagnosa Penyakit Hepatitis dengan Metode Fuzzy Tsukamoto;Ir. Ardi Pujiyanta, M.T.;Murinto, S.Si., M.Kom.;Sri Winiarti, S.T., M.Cs.
Sistem Pakar untuk Mendiagnosa Penyakit Hewan Mamalia;Dr. Abdul Fadlil, M.T.;Sri Winiarti, S.T., M.Cs.;Ir. Ardi Pujiyanta, M.T.
Sistem Pakar Untuk Mendiagnosa Penyakit Kambing Etawa;Dr. Abdul Fadlil, M.T.;Drs. Tedy Setiadi, M.T.;Sri Winiarti, S.T, M.Cs
Sistem Pakar Untuk Mendiagnosa Penyakit Kelinci Berbasis Web;Dr. Abdul Fadlil, M.T.;Drs. Tedy Setiadi, M.T.;Ir. Ardi Pujianta, M.T.
Sistem Pakar Untuk Mendiagnosa Penyakit Lambung dengan Implementasi Metode CBR (Case Based Reasoning);Sri Winiarti, S.T., M.Cs.;Dr. Abdul Fadlil, M.T.;Murinto, S.Si., M.Kom.
Sistem Pakar Untuk Mendiagnosa Penyakit Mata Menggunakan Logika Fuzzy (Tsukamoto);Ir. Ardi Pujiyanta, M.T.;Dr. Abdul Fadlil, M.T.;Sri Winiarti, S.T., M.Cs.
Sistem Pakar Untuk Mendiagnosa Penyakit Pada Alat Indera Manusia;Sri Winiarti, S.T., M.Cs.;Dr. Abdul Fadlil, M.T.;Murinto, S.Si., M.Kom.
Sistem Pakar Untuk Mendiagnosa Penyakit pada Kelinci dengan Metode Certainty Factor;Drs. Tedy Setiadi, M.T.;Sri Winiarti, S.T., M.Cs.;Ardi Pujiyanta, M.T
Sistem Pakar Untuk Mendiagnosa Penyakit Pada Tanaman Pangan Menggunakan Certainty Factor;Sri Winiarti, S.T., M.Cs.;Dr. Abdul Fadlil, M.T.;Ir. Ardi Pujiyanta, M.T.
Sistem Pakar Untuk Mendiagnosa Penyakit Pada Tanaman Perkebunan Berbasis Multimedia;Sri Winiarti, S.T., M.Cs.;Dr. Abdul Fadlil, M.T.;Ardi Pujiyanta, M.T
Sistem Pakar Untuk Mendiagnosa Penyakit Pada Usus Manusia Menggunakan Metode Case Based Reasoning;Sri Winiarti, S.T., M.Cs.;Murinto, S.Si., M.Kom.;Ir. Ardi Pujiyanta, M.T.
Sistem Pakar Untuk Menentukan Pertolongan Pertama pada Kecelakaan Berbasis Mobile;Sri Winiarti, S.T., M.Cs.;Eko Aribowo, S.T., M.Kom.;Dewi Soyusiawaty, S.T., M.T.
Sistem Pakar Untuk Mengidentifikasi gangguan kejiwaan dan penanggulangannya pada tunawisma;Dewi Soyusiawaty, S.T., M.T.;Andri Pranolo, S.T., M.Cs.;Murinto, S.Si., M.Kom.
Sistem Pakar Untuk Mengidentifikasi Permasalahan Siswa Dan Menentukan Solusinya Dengan Menggunakan Metode Naive Bayes Classifier;Sri Winiarti, S.T., M.Cs.;Andri Pranolo, S.T., M.Cs.;Murinto, S.Si., M.Kom.
Sistem Pelacak Kendaraan Berbasis Opengts di PT. Gardatama Nusantara Yogyakarta;Drs. Tedy Setiadi, M.T.;Ardiansyah, S.T., M.Cs.;Ali Tarmuji, S.T., M.Cs.
Sistem Pelacakan Laporan Kejahatan Online Menggunakan Metode REGEX (Reguler Expression) dari Grab Google Search API;Fiftin Noviyanto, S.T., M.Cs.;Dr. Imam Riyadi, M.Kom.;Nur Rochmah DPA, S.T., M.Kom.
Sistem Pelaporan Administrasi Sekolah Berbasis Web;Drs. Wahyu Pujiono, M.Kom.;Fiftin Noviyanto, S.T., M.Cs.;Ali Tarmuji, S.T., M.Cs.
Sistem pelaporan dan penyebaran lokasi wisata baru pada kota banjarmasin berbasis google maps geocoding api web service;Fiftin Noviyanto, S.T., M.Cs.;Rusydi Umar, S.T., M.T., Ph.D.;Ali Tarmuji, S.T., M.Cs.
Sistem Pemesanan Taksi Menggunakan Layanan Berbasis Lokasi;Ardiansyah, S.T., M.Cs.;Eko Aribowo, S.T., M.Kom.;Drs. Wahyu Pujiono, M.Kom.
Sistem Pemetaan Geografis Pemetaan dan Pencarian Lokasi Fasilitas Kesehatan Rumah Sakit, Klinik dan Puskesmas di Kab. Sleman Berbasis Web;Ali Tarmuji, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.;Nur Rochmah DPA, S.T., M.Kom.
Sistem Penalaran Berbasis kasus penyakit yang ditularkan oleh nyamuk;Sri Winiarti, S.T., M.Cs.;Dr. Abdul Fadlil, M.T.;Dewi Soyusiawaty, S.T., M.T.
Sistem Penalaran Berbasis Kasus Untuk Mendiagnosa Penyakit Gigi dan Mulut;Sri Winiarti, S.T., M.Cs.;Dr. Abdul Fadlil, M.T.;Murinto, S.Si., M.Kom.
Sistem Pencarian Lokasi Dengan Geolocation Berbasis Mobile (Studi Kasus : Pencarian Lokasi ATM di Kota Yogyakarta);Nur Rochmah DPA, S.T., M.Kom.;Ardiansyah, S.T., M.Cs.;Herman Yuliansyah, S.T., M.Eng.
Sistem Pencarian Lokasi Traffic Light PT. Qumkon Indonesia Berbasis Web;Eko Aribowo, S.T., M.Kom.;Murinto, S.Si., M.Kom.;Dewi Soyusiawaty, S.T., M.T.
Sistem Pendaftaran Layanan Kesehatan Dokter Berbasis SMS Gateway;Eko Aribowo, S.T., M.Kom.;Drs. Wahyu Pujiono, M.Kom.;Sri Winiarti, S.T., M.Cs.
Sistem Pendeteksi Kemiripan Tugas Menggunakan Metode Cosine Similarity;Dewi Soyusiawati, S.T., M.T.;Murinto, S.Si., M.Kom.;Sri Winiarti, S.T., M.Cs.
Sistem Pendfataran dan Seleksi Anggota Baru UKM Seni Musik UAD Berbasis Web;Fiftin Novianto, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.;Rusydi Umar, S.T., M.T., Ph.D.
Sistem Pendukung Keputusan Analisis Kinerja Pegawai Dinas Tenaga Kerja Dan Transmigrasi;Sri Winiarti, S.T., M.Cs.;Dewi Soyusiawaty, S.T., M.T.;Eko Aribowo, S.T., M.Kom.
Sistem Pendukung Keputusan dalam Penentuan Kesesuaian Jenis Lahan Untuk Budidaya Tanaman Buah-buahan Berbasis Web;Sri Winiarti, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.;Murinto, S.Si., M.Kom.
Sistem Pendukung Keputusan Dalam Penentuan Lokasi Lahan Ternak Untuk Ayam Petelur Dengan Metode SAW;Sri Winiarti, S.T., M.Cs.;Eko Aribowo, S.T., M.Kom.;Dewi Soyusiawaty, S.T., M.T.
Sistem Pendukung Keputusan Diagnosa Kerusakan Printer Inkjet Dengan Metode Forward Forward Chaining;Dewi Soyusiawaty, S.T., M.T.;Murinto, S.Si., M.Kom.;Sri Winiarti, S.T., M.Cs.
Sistem Pendukung Keputusan Kelompok Untuk Pemilihan Lokasi Pembukaan Cabang Usaha Dengan Metode Promothee (Studi Kasus pada Usaha Variasi Mobil Kikim);Fiftin Novianto, S.T., M.Cs.;Eko Aribowo, S.T., M.Kom.;Sri Handayaningsih, S.T., M.T.
Sistem Pendukung Keputusan Klinis Untuk Mendiagnosa Penyakit Kejiwaan Menggunakan Case Based Reasoning;Sri Winiarti, S.T., M.Cs.;Eko Aribowo, S.T., M.Kom.;Ardiansyah, S.T., M.Cs.
Sistem Pendukung Keputusan Kualitas Jagung Berbasis Web;Dewi Soyusiawati, S.T., M.T.;Sri Winiarti, S.T., M.Cs.;Andri Pranolo, S.T., M.Cs.
Sistem Pendukung Keputusan Menentukan Jenis Kerajinan Kulit Berdasarkan Kualitas Kulit Menggunakan Metode Simple Additive Wighting (SAW);Sri Winiarti, S.T., M.Cs.;Murinto, S.Si., M.Kom.;Adhi Prahara, S.Si., M.Cs.
Sistem Pendukung Keputusan Menggunakan Metode Analytical Hierarchy Process (AHP) Untuk Pemilihan Buku Teks Kuliah Di Perguruan Tinggi;Ardiansyah, S.T., M.Cs.;Sri Winiarti, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.
Sistem Pendukung Keputusan Pemilihan Kandidat Terbaik Untuk Mengikuti Kompetisi dengan Metode TOPSIS;Sri Winiarti, S.T., M.Cs.;Murinto, S.Si., M.Kom.;Andri Pranolo, S.T., M.Cs.
Sistem Pendukung Keputusan Pemilihan Kost Pada Kampus 3 UAD Berbasis Web;Murinto, S.Si., M.Kom.;Ardiansyah, S.T., M.Cs.;Andri Pranolo, S.T., M.Cs.
Sistem Pendukung Keputusan Pemilihan Lembaga Bimbingan Belajar Berbasis Fuzzy Disertai Letak Geogrfaisnya;Murinto, S.Si., M.Kom.;Ardiansyah, S.T., M.Cs.;Sri Winiarti, S.T., M.Cs.
Sistem Pendukung Keputusan Pemilihan Lokasi Warnet dengan Metode AHP;Eko Aribowo, S.T., M.Kom.;Sri Winiarti, S.T., M.Cs.;Ir. Ardi Pujianta, M.T.
Sistem Pendukung Keputusan Pemilihan Program Studi Bagi Mahasiswa Baru Universitas Ahmad Dahlan Yogyakarta Menggunakan Metode Topsis;Sri Winiarti, S.T., M.Cs.;Eko Aribowo, S.T., M.Kom.;Dewi Soyusiawaty, S.T., M.T.
Sistem Pendukung Keputusan Pemilihan Sekolah Menengah Kejuruan Menggunakan Metode SAW;Drs. Tedy Setiadi, M.T.;Sri Winiarti, S.T., M.Cs.;Arfiani Nur Khusna, S.T., M.Kom.
Sistem Pendukung Keputusan Penanganan Limbah Cair Pabrik DIY;Sri Winiarti, S.T., M.Cs.;Eko Aribowo, S.T., M.Kom.;Murinto, S.Si., M.Kom.
Sistem Pendukung Keputusan Penempatan Tenaga Kesehatan;Sri Winiarti, S.T., M.Cs.;Drs. Wahyu Pujiono, M.Kom.;Dewi Soyusiawaty, S.T., M.T.
Sistem Pendukung Keputusan Penentu Studi Kelayakan Investasi;Sri Winiarti, S.T., M.Cs.;Eko Aribowo, S.T., M.Kom.;Ardiansyah, S.T., M.Cs.
Sistem Pendukung Keputusan Penentuan Calon Petugas Haji dengan Metode SAW;Dewi Soyusiawaty, S.T., M.T.;Eko Aribowo, S.T., M.Kom.;Nur Rochmah DPA, S.T., M.Kom.
Sistem Pendukung Keputusan Penentuan Harga Produk Kerajinan Kaca Berdasarkan Tingkat kerumitan Pengerjaan Menggunakan Metode Simple Additive Weighting (SAW);Sri Winiarti, S.T., M.Cs.;Dewi Soyusiawaty, S.T., M.T.;Eko Aribowo, S.T., M.Kom.
Sistem Pendukung Keputusan Penentuan Lokasi BTS Menggunakan Metode Bayes;Sri Winiarti, S.T., M.Cs.;Murinto, S.Si., M.Kom.;Dewi Soyusiawaty, S.T., M.T.
Sistem Pendukung Keputusan Penentuan Lokasi Budidaya Jmaur dengan Metode Kriteria Bayes;Dewi Soyusiawaty, S.T., M.T.;Eko Aribowo, S.T., M.Kom.;Nur Rochmah DPA, S.T., M.Kom.
Sistem Pendukung Keputusan Penentuan Lokasi Pembuangan Limbah Penyulingan Cengkeh Dengan Metode (SAW) CV Galuh Aji;Sri Winiarti, S.T., M.Cs.;Eko Aribowo, S.T., M.Kom.;Murinto, S.Si., M.Kom.
Sistem Pendukung Keputusan Penentuan Lokasi Penghijauan Berbasis SIG;Sri Winiarti, S.T., M.Cs.;Eko Aribowo, S.T., M.Kom.;Dewi Soyusiawaty, S.T., M.T.
Sistem Pendukung Keputusan Penentuan Lokasi SPBU denganKriteria Bayes yang Disertai Letak Geografis Berbasis Web;Eko Aribowo, S.T., M.Kom.;Drs. Tedy Setiadi, M.T.;Sri Handayaningsih, S.T., M.T.
Sistem Pendukung Keputusan Penentuan Lokasi Usaha Peternakan Ayam Berdasarkan Perizinan Dinas Dengan Metode Multifaktor Evaluation Process;Sri Winiarti, S.T., M.Cs.;Dewi Soyusiawaty, S.T., M.T.;Adhi Prahara, S.Si., M.Cs.
Sistem Pendukung Keputusan Penentuan Penerima Pinjaman Lunak dan Bergulir Menggunakan AHP;Dr. Abdul Fadlil, M.T.;Eko Aribowo, S.T., M.Kom.;Sri Winiarti, S.T., M.Cs.
Sistem Pendukung Keputusan Penentuan Posisi Pemain Dalam Sepak Bola;Dewi Soyusiawaty, S.T., M.T.;Ardiansyah, S.T., M.Cs.;Sri Winiarti, S.T., M.Cs.
Sistem Pendukung Keputusan Penentuan Rumah Sehat Dengan Metode Matematis;Sri Winiarti, S.T., M.Cs.;Eko Aribowo, S.T., M.Kom.;Sri Handayaningsih, S.T., M.T.
Sistem Pendukung Keputusan Penentuan Sanksi Terhadap Siswa yang Melanggar Peraturan Akademik Metode Fuzzy Logic (Studi Kasus di SMK PIRI I Yogyakarta);Sri Winiarti, S.T., M.Cs.;Drs. Wahyu Pujiono, M.Kom.;Ir. Ardi Pujiyanta, M.T.
Sistem Pendukung Keputusan peramalan Permintaan Geplak Menggunakan Metode Exponential Smoothing;Dewi Soyusiawaty, S.T., M.T.;Murinto, S.Si., M.Kom.;Ir. Ardi Pujiyanta, M.T.
Sistem Pendukung Keputusan Rekomendasi Tanaman Penghijauan Jalur Hijau Yang Disertai Geografisnya;Sri Winiarti, S.T., M.Cs.;Dewi Soyusiawaty, S.T., M.T.;Andri Pranolo, S.T., M.Cs.
Sistem Pendukung Keputusan Seleksi Calon Karyawan Dengan Metode Promothee;Sri Winiarti, S.T., M.Cs.;Eko Aribowo, S.T., M.Kom;Sri Handayaningsih, S.T., M.T.
Sistem Pendukung Keputusan Status Gizi Balita Untuk Membantu Kinerja Posyandu Dengan Metode Fuzzy Tsukamoto;Drs. Tedy Setiadi, M.T.;Eko Aribowo, S.T., M.Kom.;Dewi Soyusiawaty, S.T., M.T.
Sistem Pendukung Keputusan Untuk Membantu Perekrutan Anggota dan Penghargaan Bidan Delima Dengan Metode AHP;Drs. Tedy Setiadi, M.T.;Eko Aribowo, S.T., M.Kom.;Sri Winiarti, S.T., M.Cs.
Sistem Pendukung Keputusan Untuk Menentukan Kualitas Tembakau;Dewi Soyusiawaty, S.T., M.T.;Sri Winiarti, S.T., M.Cs.;Andri Pranolo, S.T., M.Cs.
Sistem Pendukung Keputusan Untuk Menentukan Penyakit Kronis Berdasarkan Uji Klinis dengan Metode CBR Berbasis Web (Studi Kasus : RSU PKU Muhammadiyah Bantul);Sri Winiarti, S.T., M.Cs.;Ardiansyah, S.T., M.Cs.;Murinto, S.Si., M.Kom.
Sistem Pendukung Keputusan Untuk Menentukan Peringkat Sekolah SMA Kota Yogyakarta Berbasis Web;Sri Winiarti, S.T., M.Cs.;Eko Aribowo, S.T., M.Kom.;Nur Rochmah DPA, S.T., M.Kom.
Sistem Pendukung Keputusan Untuk Menentukan Supplier Terbaik dengan Metode Weighted Product;Sri Winiarti, S.T., M.Cs.;Eko Aribowo, S.T., M.Kom.;Nur Rochmah DPA, S.T., M.Kom.
Sistem Pendukung Keputusan Untuk Penentuan Tujuan Wisata Bagi Wisatawan Bangka Belitung;Rusydi Umar, S.T., M.T., Ph.D.;Dewi Soyusiawaty, S.T., M.T.;Muh. Aziz, M.Cs.
Sistem Pendukung Keputusan Untuk Seleksi Karyawan Baru Dengan Metode Simple Additive Weighting (SAW) Berbasis Web;Sri Winiarti, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.;Dewi Soyusiawaty, S.T., M.T.
Sistem Penelusur Data Penelitian Mahasiswa Menggunakan Metode Rocchio Relefance Feedback;Arfiani Nur Khusna, S.T., M.Kom.;Dewi Soyusiawaty, S.T., M.T.;LIsna Zahrotun, S.T., M.Cs.
Sistem Penentuan Keterkaitan Antar Skripsi Berdasarkan Keyword Seeking;Eko Aribowo, S.T., M.Kom.;Ardiansyah, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.
Sistem Penentuan Mahasiswa Berprestasi Pada Lingkungan Kopertis V dengan Metode Kreteria Bayes Berbasis Multi User.;Sri Winiarti, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.;Murinto, S.Si., M.Kom.
Sistem Penentuan Masa Tanam Berdasarkan Data Service BMKG Menggunakan Metode Decision Tree;Fiftin Noviyanto, S.T., M.Cs.;Sri Winiarti, S.T., M.Cs.;Andri Pranolo, S.T., M.Cs.
Sistem Penentuan Nutrisi Balita Dengan Metode Fuzzy C-Means Berdasarkan Produk Kemasan;Sri Winiarti, S.T., M.Cs.;Murinto, S.Si., M.Kom.;Herman Yuliansyah, S.T., M.Eng.
Sistem Penentuan Saksi Akademik Bagi Mahasiswa Mengunakan Metode Similarity;Sri Winiarti, S.T., M.Cs.;Dewi Soyusiawaty, S.T., M.T.;LIsna Zahrotun, S.T., M.Cs.
Sistem Pengarsipan Data Dokumen, Kenotariatan Berbasis Web dengan Framework Code Igniter;Rusydi Umar, S.T., M.T., Ph.D.;Ardiansyah, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.
Sistem Pengaturan Antrian Pada Loket Bank Menggunakan Penampilan Monitor dan Suara Berbasis Client Server;Murinto, S.Si., M.Kom.;Eko Aribowo, S.T., M.Kom.;Sri Winiarti, S.T., M.Cs.
Sistem Pengelolaan Pelaporan Kegiatan KKN Menggunakan HMVC Module untuuk Mengefisienkan Proses Pemeriksaan Laporan KKN;Fiftin Novianto, S.T., M.Cs.;Ardiansyah, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.
Sistem Pengelolaan Portofolio Mahasiswa Sebagai Bahan Pertimbangan Surat Keterangan Pendamping Ijazah (SKPI);Fiftin Noviyanto, S.T., M.Cs.;Sri Winiarti, S.T., M.Cs.;Eko Aribowo, S.T., M.Kom.
Sistem Pengelolaan Promosi Barang Berbasis Website Menggunakan Metode Analytical Hierarcy Proses (Studi Kasus Maga Swalayan);Ali Tarmuji, S.T., M.Cs.;Ardiansyah, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.
Sistem Pengelolahan Pengusulan HKI pada LSBO PP Muhammadiyah Dengan Web Service;Fiftin Novianto, S.T., M.Cs.;Ardiansyah, S.T., M.Cs.;Herman Yuliansyah, S.T., M.Eng.
Sistem Pengembangan Front End Pada Tracking Berkas Yudisium Berbasis Infografis;Fiftin Noviyanto, S.T., M.Cs.;Ardiansyah, S.T., M.Cs.;Sri Winiarti, S.T., M.Cs.
Sistem Pengenalan Jenis Menggunakan Principal Component Analysis;Dr. Abdul Fadlil, M.T.;Murinto, S.Si., M.Kom.;Ir. Ardi Pujiyanta, M.T.
Sistem Pengolahan Aset dan Administrasi Desa Dengan Penyajian Realtime Berbasis Web;Fiftin Novianto, S.T., M.Cs.;Ardiansyah, S.T., M.Cs.;Herman Yuliansyah, S.T., M.Eng.
Sistem Prediksi Jenis Kelamin Ayam (gallus) Berdasarkan analisis Citra bentuk telur menggunakan metode thresholding;Dr. Abdul Fadlil, M.T.;Murinto, S.Si., M.Kom.;Kartika Firdaus, S.T., M.T.
Sistem Registrasi Semester Via Web Menggunakan PHP dan MySQL Study Kasus di Sekolah Tinggi Ilmu Pertanian Swarnadwipa;Murinto, S.Si., M.Kom.;Ali Tarmuji, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.
Sistem Reservasi Hotel Berbasis Mobile Aplication dengan Menggunakan Java Midlet dam Mysql;Fiftin Novianto, S.T., M.Cs.;Rusydi Umar, S.T., M.T., Ph.D.;Ardiansyah, S.T., M.Cs.
Sistem Revervasi kamar homestay berbasis web dengan menerapkan cloud computing menggunakan layanan software as a service;Rusydi Umar, S.T., M.T., Ph.D.;Drs. Tedy Setiadi, M.T.;Fiftin Noviyanto, S.T., M.Cs.
Sistem Riwayat Kompetensi Mahasiswa Berbasis Web Service (Studi Kasus Prodi Teknik Informatika);Ali Tarmuji, S.T., M.Cs.;Eko Aribowo, S.T., M.Kom.;Drs. Wahyu Pujiono, M.Kom.
Sistem Simulasi untuk Uji Kelayakan Bahan Pengawet Pada Makanan Instan Bagi Produsen Industri Makanan;Sri Winiarti, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.;Drs. Wahyu Pujiono, M.Kom.
Sistem Terintegrasi Berbasis Web Pada SDIT - LH;Drs. Wahyu Pujiyono, M. Kom.;Arif Rachman, S.Si., M.T.;Sri Handayaningsih, S.T., M.T.
Solusi Pengobatan Produk K-Link Dengan Sistem Pakar;Nur Rochmah DPA, S.T., M.Kom.;Murinto, S.Si., M.Kom.;Sri Winiarti, S.T., M.Cs.
Sistem Pakar untuk mendiagnosa penyakit udang Dalah Dengan Metode Bayes;Dr. Abdul Fadlil, M.T.;Ir. Ardi Pujiyanta, M.T;Sri Winiarti, S.T., M.Cs.
Sistem Pendukung Keputusan dalam Penentuan Perbaikan Jlan Raya Menggunakan Algoritma Genetika Berbasis Web;Drs. Tedy Setiadi, M.T.;Eko Aribowo, S.T., M.Kom.;Ir. Ardi Pujiyanta, M.T.
Sistem Pendukung Keputusan Dalam Penilaian Kinerja Karyawan Untuk Kenaikan Jabatan Karyawan dengan Pemilikan Karyawan Berprestasi Menggunakan Metode Gap Kompetensi;Sri Winiarti, S.T., M.Cs.;Eko Aribowo, S.T., M.Kom.;Ali Tarmuji, S.T., M.Cs.
Sistem Pendukung Keputusan dengan Multikreteria untuk Penentuan Rumah Tinggal di Wilayah Yogyakarta dan Sekitarnya.;Sri Winiarti, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.;Ir. Ardi Pujiyanta, M.T.
Sistem Pendukung Keputusan dengan Pemetaan Untuk Meningkatkan Ekonomi Berbasis Industri Kecil;Drs. Wahyu Pujiyono, M. Kom.;Drs. Tedy Setiadi, M.T.;Sri Winiarti, S.T., M.Cs.
Sistem Pendukung Keputusan Klinis Untuk Mendiagnoosa Penyakit Kandungan dengan Menerapkan Case Base Reassoning;Sri Winiarti, S.T., M.Cs.;Eko Aribowo, S.T., M.Kom.;Sri Handayaningsih, S.T., M.T.
Sistem Pendukung Keputusan Menentukan Diagnosis Penyakit Hewan Ternak dengan Metode Case Base Reasoning;Sri Winiarti, S.T., M.Cs.;Drs. Wahyu Pujiono, M.Kom.;Dewi Soyusiawaty, S.T., M.T.
Sistem Pendukung Keputusan Menentukan Kualitas Benih Ikan Gurami Dengan MEtode Case Based Reasoning (CBR);Dewi Soyusiawati, S.T., M.T.;Sri Winiarti, S.T., M.Cs.;Arfiani Nur Khusna, S.T., M.Kom.
Sistem Pendukung Keputusan Pemilihan Lokasi untk kawasan Perumahan di kab. Bantul YK berbasis Web;Drs. Tedy Setiadi, M.T.;Ir. Ardi Pujiyanta, M.T;Sri Winiarti, S.T., M.Cs.
Sistem Pendukung Keputusan Penempatan Guru Wali Kelas SD Berdasarkan Metode Weightedproduct (Studi Kasus SDIT SAMAWI);Eko Aribowo, S.T., M.Kom.;Drs. Tedy Setiadi, M.T.;Sri Winiarti, S.T., M.Cs.
Sistem Pendukung Keputusan Penentuan Penerimaan Jaminan Kesehatan untuk Masyarakat Miskin Menggunakan Kreteria Bayes;Sri Winiarti, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.;Fiftin Noviyanto, S.T., M.Cs.
Sistem Pendukung Keputusan Penentuan Barang Layak Promosi;Ali Tarmuji, S.T., M.Cs.;Eko Aribowo, S.T., M.Kom.;Sri Winiarti, S.T., M.Cs.
Sistem Pendukung Keputusan Penentuan Daerah Demam Berdarah Dengue (DBD) di Provinsi Daerah Istimewa Yogyakarta menggunakan Kreteria Bayes.;Ali Tarmuji, S.T., M.Cs.;Drs. Wahyu Pujiono, M.Kom.;Sri Winiarti, S.T., M.Cs.
Sistem Pendukung Keputusan Penentuan Kelayakan Bus Kota Berbasis Web dengan Kreteria bayes;Sri Winiarti, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.;Ir. Ardi Pujiyanta, M.T.
